Player,UMAP1,UMAP2
George Hirst,5.09767,6.9796357
Georginio Rutter,4.965904,5.3807592
Gonçalo Guedes,5.8034353,5.6222925
Guglielmo Vicario,10.666672,6.6304064
Guido Rodríguez,8.00203,5.1388845
Hamza Choudhury,10.089717,6.42981
Harrison Reed,6.6498504,7.096796
Harry Amass,8.257482,6.625763
Harry Clarke,9.61743,6.5140452
Harry Maguire,9.546502,3.6083329
Harry Toffolo,9.327427,7.3691225
Harry Wilson,5.115737,6.125946
Harry Winks,6.923654,3.5264573
Harvey Barnes,1.9270453,3.255676
Harvey Elliott,6.1806884,5.6258903
Hwang Hee-chan,8.446582,4.2832203
Hákon Rafn Valdimarsson,10.4423275,7.486439
Ian Maatsen,5.8284936,4.8566127
Ibrahim Sangaré,6.8086524,6.5949264
Ibrahima Konaté,9.72021,2.7999527
Idrissa Gana Gueye,5.652129,2.056828
Igor,10.068267,5.599144
Iliman Ndiaye,5.1177583,3.5494385
Illia Zabarnyi,9.981026,2.735815
Ismaila Sarr,1.9491614,3.0089135
Issa Diop,9.435595,5.583469
Jack Clarke,6.219791,5.073648
Jack Grealish,5.6784816,5.373063
Jack Harrison,5.0181518,3.5650342
Jack Hinshelwood,6.749844,3.3601146
Jack Stephens,8.920548,4.172515
Jack Taylor,7.608904,5.2313294
Jacob Greaves,9.907012,3.4827127
Jacob Murphy,1.7400936,2.9525976
Jacob Ramsey,5.4847627,4.2811117
Jaden Philogene Bidace,7.8414674,7.17227
Jaden Philogene Bidace,5.563991,7.1206145
Jadon Sancho,1.5054247,2.8930557
Jahmai Simpson-Pusey,8.96701,7.2076926
Jake O'Brien,8.392982,4.0130854
Jakub Kiwior,8.260518,4.023784
Jakub Stolarczyk,9.885708,7.8356752
James Bree,7.95475,5.3018413
James Garner,6.5644336,3.6718075
James Hill,7.9703937,6.300645
James Justin,6.2319164,2.9039316
James Maddison,2.2893503,2.925398
James Mcatee,4.790853,7.1042943
James Milner,7.89695,6.236713
James Tarkowski,10.455983,2.8724103
James Ward-Prowse,7.207668,4.9273567
James Ward-Prowse,6.9872212,5.745716
Jamie Vardy,3.7144802,6.3947477
Jan Bednarek,10.226836,3.0083194
Jan Paul van Hecke,9.791913,2.4811132
Jannik Vestergaard,10.371632,5.7078276
Jarell Quansah,9.05342,6.122776
Jarrad Branthwaite,9.991838,3.2847912
Jarrod Bowen,1.7014935,2.6281605
Jason Steele,10.430594,7.3159246
Jean-Clair Todibo,9.127998,5.338312
Jean-Philippe Mateta,3.6971524,6.3060393
Jean-Ricner Bellegarde,5.7588882,4.728659
Jefferson Lerma,6.975473,2.6478117
Jeffrey Schlupp,7.073594,6.9374213
Jens Cajuste,7.1295686,2.9655418
Jeremy Doku,1.314091,2.6988533
Jesper Lindstrøm,6.058144,3.5933993
Joachim Andersen,10.109515,2.5317502
Joe Aribo,6.4323554,2.9510958
Joe Gomez,9.549354,6.157899
Joe Lumley,10.024819,7.972838
Joe Willock,5.895372,4.993554
Joelinton,5.593776,2.9218407
John McGinn,5.6093326,3.7037332
John Stones,8.288925,3.9744008
Jonny Evans,10.482533,6.234623
Jordan Ayew,5.344205,5.082582
Jordan Pickford,10.80642,7.934265
Jorge Cuenca,10.520549,6.453745
Jorginho,8.303373,6.8194103
Joshua Acheampong,8.996546,6.4238715
Joshua Zirkzee,5.563786,6.6430593
José Sá,10.561409,7.827061
Jota Silva,5.0471077,6.1607876
João Félix,5.468482,5.866266
João Gomes,5.2569575,2.1387012
João Pedro,1.9998158,3.2199903
Joël Veltman,6.880675,2.8695836
Joško Gvardiol,5.2380433,1.7166743
Julian Araujo,8.827386,7.171774
Julio Enciso,5.7707686,5.769437
Julio Enciso,6.413789,7.0543594
Jurriën Timber,5.6218166,2.9063852
Justin Devenny,6.4580345,6.7830844
Justin Kluivert,2.0022445,3.0207632
Jáder Durán,4.75075,6.9946733
Jørgen Strand Larsen,3.8759573,6.4178295
Kai Havertz,3.9581542,6.370955
Kalvin Phillips,6.930291,3.5615652
Kamaldeen Sulemana,5.5403476,5.0290685
Kaoru Mitoma,1.4955599,2.5202634
Kasey McAteer,6.3089986,6.5658984
Keane Lewis-Potter,4.5756893,2.735235
Kenny Tete,6.783579,2.9265122
Kepa Arrizabalaga,10.70239,7.0197544
Kevin Danso,9.341394,6.4695754
Kevin De Bruyne,1.7190603,2.8703578
Kevin Schade,3.6351345,6.1866045
Kieran Tierney,7.4731474,6.5504394
Kieran Trippier,5.9866204,3.8813322
Kiernan Dewsbury-Hall,7.243023,6.1672897
Kobbie Mainoo,6.932928,3.0523715
Konstantinos Mavropanos,9.936349,3.1817813
Kosta Nedeljković,8.813488,7.1882515
Kostas Tsimikas,6.646412,4.926944
Kristoffer Ajer,8.752437,5.074733
Kyle Walker,7.9477196,5.209988
Kyle Walker-Peters,4.4613404,2.4554687
Lamare Bogarde,9.637548,6.4606376
Leandro Trossard,1.8598766,3.0554647
Leif Davis,4.768806,3.0097692
Leny Yoro,9.290245,5.3738914
Leon Bailey,5.555067,5.067099
Lesley Ugochukwu,7.2976837,3.094245
Levi Colwill,9.915394,2.643098
Lewis Cook,4.7714767,2.235514
Lewis Dunk,9.528791,2.840571
Lewis Hall,5.1065054,2.4796505
Lewis Miley,8.234259,4.173841
Liam Delap,3.6539915,6.1917834
Lisandro Martínez,9.642957,2.887515
Lloyd Kelly,8.232728,6.2191644
Lucas Bergvall,6.943384,2.9795122
Lucas Digne,4.894265,2.914293
Lucas Paquetá,5.330616,2.474956
Luis Díaz,1.4841089,2.4598951
Luis Guilherme,7.3588877,6.839005
Luis Sinisterra,5.504906,5.7861676
Luke Shaw,8.137338,7.102973
Luke Thomas,8.658803,5.532249
Luke Woolfenden,9.193621,5.711821
Mads Hermansen,10.344603,7.9782763
Mads Roerslev,6.78397,4.8634014
Malo Gusto,5.1281943,2.6031682
Manuel Akanji,9.778709,2.904384
Manuel Ugarte Ribeiro,6.218901,2.3006022
Marc Cucurella,5.8600993,2.7097363
Marc Guéhi,9.939735,2.721638
Marco Asensio,5.159261,6.061063
Marcos Senesi,8.963864,5.0743265
Marcus Rashford,5.450098,6.5508747
Marcus Rashford,5.5880585,5.6605806
Marcus Tavernier,2.3624828,3.0106149
Mario Lemina,7.2626433,3.0318677
Mark Flekken,10.639413,6.8568053
Mark Travers,9.884593,7.234364
Marshall Munetsi,5.953903,6.7580647
Martin Dúbravka,10.364996,7.3818727
Martin Ødegaard,2.0258613,2.4496572
Mason Mount,5.797227,7.1207256
Massimo Luongo,9.690592,7.402641
Mateo Kovačić,5.457612,1.9615358
Mateus Fernandes,4.663613,2.4635768
Matheus Cunha,1.7423517,2.3335457
Matheus Nunes,5.3237557,3.8109956
Mathias Jensen,6.452054,5.361935
Mathys Tel,5.737794,6.5690713
Mats Wieffer,6.7144814,4.8361344
Matt Doherty,9.52596,2.9860232
Matt O'Riley,6.196302,5.2972527
Matthijs de Ligt,9.770613,3.2985773
Matty Cash,6.5273557,3.2541256
Matz Sels,10.473475,7.4021535
Max Kilman,10.3427725,2.7508955
Maxence Lacroix,9.973632,3.141036
Michael Kayode,6.651878,5.611053
Michael Keane,8.777228,4.318966
Michail Antonio,5.98235,6.2864747
Micky van de Ven,9.390005,5.479784
Miguel Almirón,6.5392866,7.0297174
Mikel Merino,4.7582874,6.03108
Mikey Moore,6.591838,5.6786942
Mikkel Damsgaard,3.8416188,1.9706174
Milos Kerkez,4.263257,2.4485793
Mohamed Salah,1.6088419,2.3198187
Mohammed Kudus,1.7057961,2.9819472
Moisés Caicedo,5.569534,1.9142857
Morato,10.378061,6.2724366
Morgan Gibbs-White,2.4972944,2.7874825
Morgan Rogers,2.045766,2.603688
Murillo,10.467053,2.8347483
Mykhailo Mudryk,6.2489586,6.762559
Myles Lewis-Skelly,8.334722,3.9280825
Nathan Aké,10.492175,5.987163
Nathan Broadhead,6.140074,6.8584495
Nathan Collins,10.33954,2.7090805
Nathan Patterson,7.5235934,6.0521045
Nathan Wood-Gordon,9.138492,6.1486726
Nathaniel Clyne,8.093627,7.307317
Neco Williams,5.4198117,2.5676463
Neto,9.583074,7.2623353
Nick Pope,10.803102,7.8985195
Niclas Füllkrug,5.158151,6.791062
Nico O’Reilly,7.8350444,4.439411
Nicolas Jackson,3.5511625,6.1883287
Nicolás Domínguez,6.3839693,2.3548996
Nicolás González,8.18573,5.834797
