,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
10,Alexis Mac Allister,ARG,Liverpool,MF,26,34,30,2575.0,5,5,6,0,2.8,4.6,34,174,79,0.17,0.17,0.1,0.16,N/a,N/a,N/a,N/a,34.2,0.45,0.13,18.1,1260,83.5,20147,90.2,88.4,55.7,44,121,34,2,119,4.16,15,0.52,95,58,104,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50.0,906,1961,42,5,31,22,1217,61,40,2,85,146,19,34,35.8,€106.1M,85.5/88.9
11,Alisson,BRA,Liverpool,GK,32,25,25,2238.0,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.92,71.4,36.0,0.0,,0.0,,,681,83.6,14999,99.0,98.6,48.1,1,11,0,0,6,0.24,1,0.04,1,0,1,1,0,0,0,0,860,622,844,16,0,0,1,100.0,0.0,550,1284,0,0,1,0,525,0,2,0,0,42,6,0,100.0,€24.1M,78.0/78.0
12,Amad Diallo,CIV,Manchester Utd,"FW,MF",22,23,17,1639.0,7,6,3,0,4.2,4.0,93,55,163,0.38,0.33,0.23,0.22,N/a,N/a,N/a,N/a,32.6,0.77,0.16,18.0,676,82.9,9329,90.5,85.3,53.1,40,25,30,5,83,4.56,17,0.93,35,28,28,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,2355,48,54,36,32,731,19,24,9,38,99,9,15,37.5,€48.5M,69.4/76.9
13,Amadou Onana,BEL,Aston Villa,MF,23,23,17,1378.0,3,0,4,0,2.1,0.3,21,60,14,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.39,0.18,14.7,607,88.5,9552,94.3,89.8,73.0,8,56,9,1,27,1.76,4,0.26,47,24,26,12,14,6,8,24,858,62,233,506,133,21,17,64.7,17.6,468,1293,20,1,10,9,579,30,24,0,1,66,27,18,60.0,€62.1M,68.7/76.0
14,Andreas Pereira,BRA,Fulham,MF,29,31,23,1879.0,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,641,68.9,11658,83.6,78.3,41.0,56,64,19,4,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,35,8,26,21,648,27,23,1,168,97,12,21,36.4,€19M,75.7/75.7
15,Andrew Robertson,SCO,Liverpool,DF,31,31,27,2308.0,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.08,0.0,14.5,1456,83.0,24521,94.1,86.8,46.8,38,144,28,16,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,48,6,25,11,1302,11,8,2,136,91,6,12,33.3,€24M,80.2/80.6
16,André,BRA,Wolves,MF,23,30,28,2249.0,0,0,7,0,0.4,0.7,8,95,11,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,11.1,0.04,0.0,25.3,1111,92.8,17503,95.3,95.4,80.0,15,101,4,0,45,1.8,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37.0,795,1440,14,0,27,17,973,34,32,0,0,176,2,6,25.0,€29.8M,71.5/79.3
17,André Onana,CMR,Manchester Utd,GK,29,33,33,2970.0,0,0,0,0,0.0,0.2,0,1,0,0.0,0.0,0.0,0.01,1.30,69.0,27.3,25.0,,0.0,,,920,73.1,21868,99.1,99.0,36.3,1,24,0,0,4,0.12,0,0.0,1,1,3,2,0,0,0,0,1323,1005,1302,22,0,0,0,,,932,2615,0,0,1,0,810,0,2,0,0,33,6,0,100.0,€34.2M,73.5/76.9
18,Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23,35,28,2232.0,6,9,1,0,4.2,4.8,87,54,190,0.24,0.36,0.17,0.19,N/a,N/a,N/a,N/a,52.5,0.85,0.15,17.3,479,65.2,6909,82.8,64.1,33.0,44,29,24,7,89,3.59,14,0.57,18,13,17,12,11,1,10,6,1000,29,133,290,594,98,76,30.3,46.1,527,2268,42,42,70,39,672,8,36,15,156,84,24,34,41.4,€45.5M,75.0/82.6
19,Anthony Gordon,ENG,Newcastle Utd,FW,24,31,25,2235.0,6,5,2,0,8.0,4.9,111,93,197,0.24,0.2,0.32,0.2,N/a,N/a,N/a,N/a,28.6,0.64,0.09,16.8,671,73.3,10367,85.9,78.2,43.2,50,61,52,17,99,3.99,12,0.48,31,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,36.5,46.9,758,3042,56,55,28,35,851,19,65,8,122,92,6,7,46.2,€49.5M,80.7/86.9
20,Antoine Semenyo,GHA,Bournemouth,FW,25,34,33,2933.0,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,N/a,N/a,N/a,N/a,31.4,1.14,0.08,17.2,737,73.2,10554,84.7,76.5,38.6,45,48,44,8,123,3.77,13,0.4,53,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,51.2,41.6,904,3409,65,65,79,72,1041,66,36,14,52,150,61,72,45.9,€47.7M,74.1/79.3
21,Antonee Robinson,USA,Fulham,DF,27,34,33,2989.0,0,10,8,0,0.7,4.1,114,123,265,0.0,0.3,0.02,0.12,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.1,1523,76.6,26058,86.7,79.0,56.4,42,113,54,28,77,2.32,11,0.33,90,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,43.6,42.3,1278,4057,60,29,41,18,1440,31,17,6,165,148,45,25,64.3,€46.4M,77.9/78.7
22,Archie Gray,ENG,Tottenham,"DF,MF",19,25,16,1481.0,0,0,0,0,0.0,0.1,6,34,15,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.0,24.6,939,88.2,16414,92.3,92.7,59.1,2,39,0,0,5,0.3,0,0.0,13,7,17,10,19,10,9,13,1179,139,564,537,88,2,11,54.5,36.4,816,1551,5,0,9,10,881,9,11,0,13,59,10,9,52.6,€58.2M,71.0/89.0
