Name,Cluster,UMAP1,UMAP2,Progressive Carries (PrgC),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Pass Completion Percentage (Cmp%),Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocked Shots (Sh),Interceptions (Int),Touches in Attacking Third,Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Passes Received (Rec),Progressive Passes Received (PrgR),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won Percentage (Won%)
Alexis Mac Allister,1,4.05422,1.9654536,34,0.17,0.17,0.1,0.16,1.4849999999999999,68.15,17.9,0.0,34.2,0.45,0.13,18.1,83.5,44,121,34,119,4.16,15,0.52,58,104,49,6,22,630,38.1,50.0,906,1961,42,5,1217,79,2,85,146,35.8
Ali Al Hamadi,0,7.7255745,6.780908,4,0.0,0.0,0.24,0.05,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,15.7,83.3,2,0,0,8,5.37,0,0.0,0,2,2,0,0,30,57.1,42.9,29,111,3,4,36,14,1,0,4,35.7
Alisson,0,10.696295,7.095387,0,0.0,0.0,0.0,0.02,0.92,71.4,36.0,0.0,30.0,0.0,0.06,16.4,83.6,1,11,0,6,0.24,1,0.04,0,1,1,0,0,0,100.0,0.0,550,1284,0,0,525,0,0,0,42,100.0
Alphonse Areola,0,9.92124,7.6649537,0,0.0,0.0,0.0,0.0,1.69,62.9,17.4,0.0,30.0,0.0,0.06,16.4,69.3,0,10,0,3,0.13,0,0.0,2,3,1,0,0,0,45.0,43.8,553,1201,0,0,510,0,0,0,27,100.0
Altay Bayındır,0,10.053568,8.033517,0,0.0,0.0,0.0,0.0,4.0,33.3,0.0,0.0,30.0,0.0,0.06,16.4,55.5,0,1,0,0,0.0,0,0.0,0,1,1,0,0,0,45.0,43.8,82,145,0,0,77,0,0,0,0,50.0
Amad Diallo,4,1.5548083,2.7447019,93,0.38,0.33,0.23,0.22,1.4849999999999999,68.15,17.9,0.0,32.6,0.77,0.16,18.0,82.9,40,25,30,83,4.56,17,0.93,28,28,11,0,11,523,49.4,45.5,678,2355,48,54,731,163,9,38,99,37.5
Amadou Onana,3,7.907439,3.559919,21,0.2,0.0,0.14,0.02,1.4849999999999999,68.15,17.9,0.0,35.3,0.39,0.18,14.7,88.5,8,56,9,27,1.76,4,0.26,24,26,12,6,24,133,64.7,17.6,468,1293,20,1,579,14,0,1,66,60.0
Andreas Pereira,4,2.778244,3.1512542,27,0.1,0.19,0.17,0.21,1.4849999999999999,68.15,17.9,0.0,22.9,0.38,0.06,22.1,68.9,56,64,19,101,4.84,8,0.38,12,40,30,2,8,511,44.8,27.6,556,1266,35,8,648,78,1,168,97,36.4
Andrew Robertson,1,4.7317224,2.6144516,58,0.0,0.0,0.04,0.16,1.4849999999999999,68.15,17.9,0.0,15.4,0.08,0.0,14.5,83.0,38,144,28,75,2.92,3,0.12,22,47,17,4,20,578,38.9,55.6,1028,2588,48,6,1302,95,2,136,91,33.3
André,1,6.040241,2.2245405,8,0.0,0.0,0.02,0.03,1.4849999999999999,68.15,17.9,0.0,11.1,0.04,0.0,25.3,92.8,15,101,4,45,1.8,3,0.12,48,57,25,8,32,132,48.1,37.0,795,1440,14,0,973,11,0,0,176,25.0
André Onana,0,10.607448,7.736571,0,0.0,0.0,0.0,0.01,1.3,69.0,27.3,25.0,30.0,0.0,0.06,16.4,73.1,1,24,0,4,0.12,0,0.0,1,3,2,0,0,0,45.0,43.8,932,2615,0,0,810,0,0,0,33,100.0
Andrés García,0,8.282966,7.0639224,26,0.0,0.0,0.01,0.05,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,26.6,86.6,3,9,8,3,0.85,0,0.0,5,8,4,0,2,112,27.8,66.7,159,673,13,2,168,28,0,18,15,0.0
Andy Irving,0,10.195947,6.3690324,0,0.0,0.0,0.06,0.13,1.4849999999999999,68.15,17.9,0.0,50.0,1.08,0.0,26.2,87.9,1,14,1,5,2.68,0,0.0,4,5,4,1,1,24,100.0,0.0,73,137,1,0,104,4,0,2,10,50.0
Anthony Elanga,4,1.5054413,2.5763516,87,0.24,0.36,0.17,0.19,1.4849999999999999,68.15,17.9,0.0,52.5,0.85,0.15,17.3,65.2,44,29,24,89,3.59,14,0.57,13,17,12,1,6,594,30.3,46.1,527,2268,42,42,672,190,15,156,84,41.4
Anthony Gordon,4,1.5998415,2.5226812,111,0.24,0.2,0.32,0.2,1.4849999999999999,68.15,17.9,0.0,28.6,0.64,0.09,16.8,73.3,50,61,52,99,3.99,12,0.48,17,34,22,2,6,638,36.5,46.9,758,3042,56,55,851,197,8,122,92,46.2
Antoine Semenyo,4,1.5854434,2.4437687,133,0.28,0.15,0.29,0.18,1.4849999999999999,68.15,17.9,0.0,31.4,1.14,0.08,17.2,73.2,45,48,44,123,3.77,13,0.4,34,42,26,8,10,824,51.2,41.6,904,3409,65,65,1041,259,14,52,150,45.9
Antonee Robinson,1,4.185578,2.2431612,114,0.0,0.3,0.02,0.12,1.4849999999999999,68.15,17.9,0.0,12.5,0.06,0.0,22.1,76.6,42,113,54,77,2.32,11,0.33,57,89,45,7,57,763,43.6,42.3,1278,4057,60,29,1440,265,6,165,148,64.3
Antony,2,6.337927,7.049005,5,0.0,0.0,0.65,0.08,1.4849999999999999,68.15,17.9,0.0,50.0,1.91,0.0,15.8,81.2,3,1,5,8,5.11,0,0.0,3,5,3,0,2,54,36.4,54.5,60,182,6,1,69,7,0,5,11,0.0
Antonín Kinský,0,9.867189,7.759219,1,0.0,0.0,0.0,0.02,1.75,56.3,25.0,0.0,30.0,0.0,0.06,16.4,80.0,1,2,0,1,0.25,0,0.0,1,1,0,0,0,0,45.0,43.8,97,267,0,0,98,0,0,0,4,100.0
Archie Gray,0,9.56294,6.2842407,6,0.0,0.0,0.0,0.01,1.4849999999999999,68.15,17.9,0.0,100.0,0.06,0.0,24.6,88.2,2,39,0,5,0.3,0,0.0,7,17,10,10,13,88,54.5,36.4,816,1551,5,0,881,15,0,13,59,52.6
Arijanet Muric,0,9.758901,7.62809,0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,30.0,0.0,0.06,16.4,71.7,0,14,0,1,0.06,0,0.0,0,2,2,0,0,0,45.0,43.8,405,1178,0,0,321,0,0,0,26,91.7
Armando Broja,0,8.3359,6.642452,12,0.0,0.0,0.03,0.05,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,17.3,72.6,4,3,0,7,1.89,0,0.0,1,0,0,0,1,72,50.0,43.8,64,281,8,3,94,26,3,1,9,46.2
Armel Bella Kotchap,0,8.305091,7.2786007,0,0.0,0.0,0.09,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,9.1,90.2,0,6,0,2,0.54,0,0.0,5,6,3,2,5,3,0.0,100.0,186,326,0,0,192,0,0,0,19,54.5
Ashley Young,1,6.42719,3.4489667,20,0.06,0.17,0.01,0.09,1.4849999999999999,68.15,17.9,0.0,50.0,0.17,0.17,24.5,69.9,19,72,18,38,2.11,6,0.33,29,51,19,3,23,280,33.3,46.7,415,1214,24,1,535,27,0,66,61,47.6
Axel Disasi,0,8.477446,6.3176203,10,0.0,0.0,0.02,0.07,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,19.5,86.8,3,14,3,9,1.65,0,0.0,5,7,4,1,5,29,60.0,40.0,207,621,8,2,223,5,2,1,15,57.1
Axel Disasi,3,8.266343,4.0212474,6,0.25,0.0,0.07,0.02,1.4849999999999999,68.15,17.9,0.0,50.0,0.25,0.5,12.3,90.8,2,20,2,2,0.49,0,0.0,4,11,5,1,2,40,100.0,0.0,196,519,3,0,242,2,0,0,15,71.4
Axel Tuanzebe,0,8.863031,5.4969087,9,0.0,0.06,0.01,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,15.7,83.0,4,50,3,11,0.68,2,0.12,17,24,8,9,21,108,40.0,60.0,339,727,6,1,410,8,0,6,43,50.0
Ayden Heaven,0,10.4474,6.424097,1,0.0,0.0,0.0,0.0,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,81.6,0,2,0,2,1.89,0,0.0,3,2,0,2,1,3,100.0,0.0,42,122,1,0,40,1,0,0,4,33.3
Bart Verbruggen,0,10.57375,6.7705517,0,0.0,0.03,0.0,0.0,1.67,64.7,18.2,0.0,30.0,0.0,0.06,16.4,76.9,1,18,1,5,0.15,1,0.03,0,3,3,0,0,0,100.0,0.0,879,1673,1,1,836,0,0,0,58,90.9
Ben Brereton,0,8.187608,6.674445,12,0.0,0.0,0.18,0.02,1.4849999999999999,68.15,17.9,0.0,9.1,0.2,0.0,17.3,77.1,3,9,2,9,1.8,0,0.0,2,9,8,1,0,112,25.0,50.0,136,394,13,4,171,42,1,5,16,56.3
Ben Chilwell,2,6.7480183,6.8468986,2,0.0,0.0,0.05,0.13,1.4849999999999999,68.15,17.9,0.0,50.0,0.65,0.0,27.6,65.2,2,4,2,3,1.93,0,0.0,4,3,3,1,4,25,40.0,40.0,39,146,1,0,42,10,2,3,12,50.0
Ben Davies,0,10.371491,5.629042,14,0.0,0.0,0.02,0.02,1.4849999999999999,68.15,17.9,0.0,20.0,0.08,0.0,17.0,88.0,2,43,2,8,0.64,0,0.0,10,14,7,16,12,45,100.0,0.0,588,1701,10,0,699,6,0,4,36,55.3
Ben Godfrey,0,9.671272,7.3479676,2,0.0,0.0,0.0,0.0,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,82.5,0,5,1,1,0.57,0,0.0,0,1,0,1,2,9,45.0,43.8,33,79,2,0,42,1,0,0,2,100.0
Ben Johnson,1,6.9498806,3.784633,16,0.07,0.13,0.07,0.09,1.4849999999999999,68.15,17.9,0.0,42.9,0.2,0.14,12.6,71.5,12,21,3,23,1.54,5,0.33,22,41,21,5,13,163,33.3,58.3,259,585,12,3,290,33,1,37,57,51.4
Ben Mee,0,9.235558,7.0531387,3,0.0,0.0,0.0,0.0,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,77.5,0,10,0,0,0.0,0,0.0,2,1,0,3,4,11,45.0,43.8,78,274,1,1,86,2,0,0,11,50.0
Ben White,0,8.471591,5.7609525,11,0.0,0.1,0.04,0.08,1.4849999999999999,68.15,17.9,0.0,14.3,0.1,0.0,19.1,83.6,7,39,8,16,1.53,1,0.1,9,28,17,7,15,165,0.0,75.0,292,622,11,3,375,28,1,10,26,75.0
Benoît Badiashile,0,8.345147,7.39284,3,0.0,0.0,0.0,0.0,1.4849999999999999,68.15,17.9,0.0,30.0,0.0,0.06,16.4,89.8,0,37,1,0,0.0,0,0.0,6,5,1,2,6,13,0.0,100.0,177,340,5,0,247,2,0,0,18,80.0
